O3gjsJF72aE,IQ 150 이하는 절대 못깨는 게임,2023-01-03T02:30:10Z,UC2NFRq9s2neD_Ml0tPhNC2Q,우주하마,2023-01-04T00:00:00Z,405865,6041,0,314,https://i.ytimg.com/vi/O3gjsJF72aE/default.jpg
IG1Kqt7M6I0,"시상식 D-1일, 12시간 논스탑 과식합니다 (ft. 라미란 다식원)",2023-01-02T11:00:14Z,UCvAewWPqooIUgQUsjhTmUVw,김숙티비kimsookTV,2023-01-04T00:00:00Z,336598,7720,0,223,https://i.ytimg.com/vi/IG1Kqt7M6I0/default.jpg
Km71Rr9K-Bw,NewJeans (뉴진스) 'Ditto' Performance Video,2022-12-30T10:00:01Z,UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,2023-01-04T00:00:00Z,6166594,330417,0,6713,https://i.ytimg.com/vi/Km71Rr9K-Bw/default.jpg
t9nc1yg8pUM,"[짐승친구들] 굿바이, 새대갈",2022-12-31T06:00:17Z,UCszFjh7CEfwDb7UUGb4RzCQ,짤툰,2023-01-04T00:00:00Z,1232308,23319,0,3523,https://i.ytimg.com/vi/t9nc1yg8pUM/default.jpg
bYzreYPDCJA,💥추운겨울 우리집은 겨울내내 ✔무와배추를 이렇게 먹기로 했어요💯,2023-01-02T00:29:00Z,UCKm-cusLT76t3t4s9OgCqcA,양장금주부,2023-01-04T00:00:00Z,114480,1629,0,27,https://i.ytimg.com/vi/bYzreYPDCJA/default.jpg
0yyqhot0BDc,연말 파주 노천온천에서 보낸 2박3일 여행,2022-12-31T09:00:07Z,UClRNDVO8093rmRTtLe4GEPw,곽튜브KWAKTUBE,2023-01-04T00:00:00Z,1022965,19668,0,1492,https://i.ytimg.com/vi/0yyqhot0BDc/default.jpg
n0Udvst2kMo,새해부터 침착맨 x 김풍으로 딩대 기강 한번 씨게 잡겠습니다 (+광란의 빼빼로게임💋) [시즌4 ep.24],2023-01-03T10:00:20Z,UCuG998qSYbpTz_TeggrLjoA,딩대 DingUniv,2023-01-04T00:00:00Z,88644,2800,0,224,https://i.ytimg.com/vi/n0Udvst2kMo/default.jpg
4meIvHTBYJc,G-DRAGON - GUERRILLA DESK : G_Division,2023-01-01T07:31:57Z,UCeU5qTuBiqTU5z-hyL6WITQ,OfficialGDRAGON,2023-01-04T00:00:00Z,1296513,94602,0,9682,https://i.ytimg.com/vi/4meIvHTBYJc/default.jpg
YxbKfN3MEOs,[TEASER] 뉴진스(NewJeans) _ OMG | 1theKILLPO | 원더킬포 | 킬포인트 | 퍼포먼스 | Performance | 4K,2023-01-03T11:00:24Z,UCqq-ovGE01ErlXakPihhKDA,1theK Originals - 원더케이 오리지널,2023-01-04T00:00:00Z,479260,34991,0,846,https://i.ytimg.com/vi/YxbKfN3MEOs/default.jpg
g0kmlu8ah_g,뜬구름 잡지 말고요. 진지하게 (문과야 힘내),2023-01-03T10:09:00Z,UCA4ZUofyfHIk-qXlAQQV5Hg,너 진짜 똑똑하다,2023-01-04T00:00:00Z,124765,5675,0,831,https://i.ytimg.com/vi/g0kmlu8ah_g/default.jpg
Y3yandZRvqQ,고음천재 왁굳님,2023-01-03T10:00:15Z,UCHE7GBQVtdh-c1m3tjFdevQ,징버거 JINGBURGER,2023-01-04T00:00:00Z,96914,4767,0,294,https://i.ytimg.com/vi/Y3yandZRvqQ/default.jpg
NTv51wOzm10,돌아온 일본 일상vlog✈️ㅣ청소광공 주부토모의 컴백🧽 (ft.6마넌치 청소템 쇼핑)ㅣ친척집에서 k-김장체험ㅣ일본 편의점 오뎅 전메뉴 먹방🍢ㅣ 한국에서 최후의 만찬ㅣ월드컵 응원⚽,2023-01-02T15:33:04Z,UCoQy2wS5aiKCk-rUXiLS-vQ,토모토모TomoTomo,2023-01-04T00:00:00Z,419779,12348,0,950,https://i.ytimg.com/vi/NTv51wOzm10/default.jpg
OHS1PYKoGuQ,"[2022 MBC 가요대제전] 99즈 (우기,아린,유정,츄,예나) - 스텝 (STEP), MBC 221231 방송",2022-12-31T15:29:54Z,UCe52oeb7Xv_KaJsEzcKXJJg,MBCkpop,2023-01-04T00:00:00Z,2147026,67605,0,5361,https://i.ytimg.com/vi/OHS1PYKoGuQ/default.jpg
nOqMdgw0AXc,"슬기를 떠난 진영, 틈을 노리는 종우 | 솔로지옥2 | 넷플릭스",2023-01-03T09:00:30Z,UCiEEF51uRAeZeCo8CJFhGWw,Netflix Korea 넷플릭스 코리아,2023-01-04T00:00:00Z,402224,2083,0,2023,https://i.ytimg.com/vi/nOqMdgw0AXc/default.jpg
iApRbEJB4Ig,[ENG] 여우 이미지 은근 즐기는 FOX같은 기지배 이나연ㅣ빨아삐리뽀 EP.13,2023-01-03T10:00:16Z,UCcyOjqkI0rn_Mnw6Xe0kArQ,빨리요,2023-01-04T00:00:00Z,169061,2702,0,141,https://i.ytimg.com/vi/iApRbEJB4Ig/default.jpg
MYD_twg04CQ,아시안게임 논란ㅣ#스톡킹 EP.72-5 (나지완 편),2023-01-02T09:00:08Z,UCTaa3IrgDnQaFw_TD-JJRJw,스톡킹,2023-01-04T00:00:00Z,107296,1820,0,464,https://i.ytimg.com/vi/MYD_twg04CQ/default.jpg
LPlSBYGhg7Y,수퍼 크리스피 통 삼겹살 : 3년간 연구했습니다. 중학생도 100% 성공할 업그레이드 레시피!!!,2023-01-03T09:37:09Z,UC0VR2v4TZeGcOrZHnmwbU_Q,육식맨 YOOXICMAN,2023-01-04T00:00:00Z,481281,9829,0,752,https://i.ytimg.com/vi/LPlSBYGhg7Y/default.jpg
sVTy_wmn5SU,NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),2023-01-03T11:30:01Z,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,2023-01-04T00:00:00Z,2048785,174579,0,3551,https://i.ytimg.com/vi/sVTy_wmn5SU/default.jpg
RsAFTZkSQKM,"여러분 저 사실... 고백할게 있어요ㅣ막창,마라탕,크림새우ㅣHamzy Vlog",2023-01-03T11:00:04Z,UC1EiHIhV6UDRWOY6BaEavdw,집나간햄지 Wandering Hamzy,2023-01-04T00:00:00Z,196031,5766,0,407,https://i.ytimg.com/vi/RsAFTZkSQKM/default.jpg
xJcJn8dtsAQ,이것까지만 먹고 내년엔 진짜 살 뺀다 두고 봐,2022-12-31T09:24:59Z,UCXEKwWflysXu312NmIP_dlw,너덜트,2023-01-04T00:00:00Z,1484386,22995,0,706,https://i.ytimg.com/vi/xJcJn8dtsAQ/default.jpg
bHSYy5elYDk,새해 첫 날 일본 가정집의 하루 브이로그,2023-01-03T02:22:09Z,UCaJCF6bmhG2wqPF3jA9gS4w,유우키의 일본이야기 YUUKI,2023-01-04T00:00:00Z,564008,16447,0,1917,https://i.ytimg.com/vi/bHSYy5elYDk/default.jpg
r-3RsFFDKLQ,불고기 + 잡채를 처음 먹어본 마케도니아 소방관님들 반응?! 장모님이 제일 좋아하는 한국 음식이 바뀌는 순간...,2023-01-01T11:01:42Z,UCEHYQlrn01RoUMjC5ubcNHQ,NB couple엔비커플,2023-01-04T00:00:00Z,436741,28210,0,1333,https://i.ytimg.com/vi/r-3RsFFDKLQ/default.jpg
xFJSHFHAWlE,와.. 나 여기서 어떻게 살지..?,2023-01-02T11:00:29Z,UCZ1wYQHk1yVle18u8FA8AvA,배말랭,2023-01-04T00:00:00Z,445863,8196,0,614,https://i.ytimg.com/vi/xFJSHFHAWlE/default.jpg
_t3sbpPb2mY,딸 집에 눈탱이 밤탱이로 엄마가 간다면?ㅋㅋㅋㅋ딸의 분노 역대급ㅋㅋㅋㅋ,2023-01-02T04:00:08Z,UC2tbZfs11e-5MND58_jfDCA,순자엄마,2023-01-04T00:00:00Z,620411,10859,0,413,https://i.ytimg.com/vi/_t3sbpPb2mY/default.jpg
btNu6nZclCQ,"전철역 구석에서 월매출 1억? 산더미 바지락 칼국수로 대박난 새벽부터 육수,면,반찬까지 다 만드는 국숫집┃clam kalguksu / Korean street food",2023-01-01T12:51:44Z,UCHy8o-_zR_vHqpPN4uNUvkg,푸디랜드 FoodieLand,2023-01-04T00:00:00Z,734264,4001,0,348,https://i.ytimg.com/vi/btNu6nZclCQ/default.jpg
